,Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price,Day,Month,Dep_Hour
0,IndiGo,Banglore,New Delhi,170,0,No info,3897,24,3,22
1,Air India,Kolkata,Banglore,445,2,No info,7662,1,5,6
2,Jet Airways,Delhi,Cochin,1140,2,No info,13882,9,6,9
3,IndiGo,Kolkata,Banglore,325,1,No info,6218,12,5,18
4,IndiGo,Banglore,New Delhi,285,1,No info,13302,1,3,17
5,SpiceJet,Kolkata,Banglore,145,0,No info,3873,24,6,9
6,Jet Airways,Banglore,New Delhi,930,1,In-flight meal not included,11087,12,3,19
7,Jet Airways,Banglore,New Delhi,1265,1,No info,22270,1,3,8
8,Jet Airways,Banglore,New Delhi,1530,1,In-flight meal not included,11087,12,3,9
9,Multiple carriers,Delhi,Cochin,470,1,No info,8625,27,5,11
10,Air India,Delhi,Cochin,795,1,No info,8907,1,6,10
11,IndiGo,Kolkata,Banglore,155,0,No info,4174,18,4,20
12,Air India,Chennai,Kolkata,135,0,No info,4667,24,6,12
13,Jet Airways,Kolkata,Banglore,730,1,In-flight meal not included,9663,9,5,21
14,IndiGo,Kolkata,Banglore,155,0,No info,4804,24,4,17
15,Air India,Delhi,Cochin,1595,2,No info,14011,3,3,17
16,SpiceJet,Delhi,Cochin,270,1,No info,5830,15,4,9
17,Jet Airways,Delhi,Cochin,1355,1,In-flight meal not included,10262,12,6,14
18,Air India,Delhi,Cochin,1380,2,No info,13381,12,6,20
19,Jet Airways,Delhi,Cochin,1235,1,In-flight meal not included,12898,27,5,16
20,GoAir,Delhi,Cochin,310,1,No info,19495,6,3,14
21,Air India,Banglore,New Delhi,920,1,No info,6955,21,3,22
22,IndiGo,Banglore,Delhi,170,0,No info,3943,3,4,4
23,IndiGo,Banglore,Delhi,175,0,No info,4823,1,5,19
24,Jet Airways,Kolkata,Banglore,800,1,In-flight meal not included,7757,6,5,19
25,Jet Airways,Delhi,Cochin,910,2,No info,13292,9,6,21
26,IndiGo,Delhi,Cochin,345,1,No info,8238,1,6,22
27,GoAir,Delhi,Cochin,355,1,No info,7682,15,5,7
28,Vistara,Banglore,Delhi,170,0,No info,4668,18,6,10
29,Vistara,Chennai,Kolkata,135,0,No info,3687,15,6,7
30,Vistara,Chennai,Kolkata,135,0,No info,3687,18,6,7
31,Air India,Kolkata,Banglore,805,2,No info,13227,1,5,10
32,IndiGo,Banglore,Delhi,170,0,No info,4423,6,4,4
33,Jet Airways,Delhi,Cochin,1320,2,In-flight meal not included,10919,15,6,15
34,Jet Airways,Delhi,Cochin,330,1,In-flight meal not included,12373,18,5,7
35,IndiGo,Delhi,Cochin,625,1,No info,5894,27,6,11
36,SpiceJet,Kolkata,Banglore,315,1,No info,4649,21,5,15
37,Air India,Kolkata,Banglore,150,0,No info,6245,18,5,14
38,Jet Airways,Banglore,New Delhi,375,1,No info,19225,6,3,7
39,Jet Airways,Delhi,Cochin,715,1,No info,14924,3,6,7
40,Multiple carriers,Delhi,Cochin,665,1,No info,9646,21,5,7
41,Air India,Banglore,New Delhi,510,1,No info,8714,15,3,7
42,Jet Airways,Delhi,Cochin,1325,1,In-flight meal not included,12373,18,5,21
43,Air Asia,Banglore,Delhi,165,0,No info,3383,6,5,11
44,Multiple carriers,Delhi,Cochin,720,1,No info,13062,21,3,9
45,SpiceJet,Banglore,New Delhi,170,0,No check-in baggage included,3527,24,3,6
